,Interval,Product,Pice,Order Quantity,Year,Month
630,26/07/2021,Seagate 500GB One Touch SSD - White; 2.5&#039;&#039;; USB-C; USB 3.0,"2,299",1,2021,July
631,27/07/2021,Acer Nitro 5  Gaming Laptop | AN515-55-52FN,"16,799",1,2021,July
632,28/07/2021,Acer Travelmate Laptop 14&quot; FHD i7-10510U 8GB 1TB SSD LTE | Win 10 Pro | TMP214-52-71MF,"19,999",1,2021,July
633,02/08/2021,Acer Travelmate Laptop | TMP215-52,"18,499",1,2021,August
634,05/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU,"12,499",1,2021,August
635,05/08/2021,Acer Swift 3 14&quot; i7-1165G7 16GB 1TB SSD | SF314-59-78TU,"18,999",1,2021,August
636,06/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"12,499",1,2021,August
637,10/08/2021,Acer Swift 3 Laptop 14&quot; FHD i3-1115G4 8GB 256GB SSD Blue | SF314-59-33LV + Free Targus Sleeve,"10,499",2,2021,August
638,10/08/2021,Acer Chromebook 11.6&quot; HD Intel® Celeron® N4000 4GB  eMMC 32GB Google Chrome | CB311-9H-C0GC + Free Targus Work-In-Sleeve,"5,499",1,2021,August
639,10/08/2021,Acer Projector 4000Lm HDMI Wifi |P1560BTi,"15,999",1,2021,August
640,11/08/2021,Acer Nitro 5 i5-11300H15.6&#039;&#039; RTX3050 4G 8GB 512GB SSD | AN515-56-554Y,"18,999",2,2021,August
641,11/08/2021,Acer Nitro 5 i7-10750H17.3&#039;&#039; RTX3060 6GB 16GB 512GB SSD Eshell(DOS),"25,999",1,2021,August
642,11/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i7-1165G7 8GB 512GB SSD Silver | SF314-59-7203,"15,499",1,2021,August
643,15/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,August
644,16/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Blue | SF314-59-5307 + Free Targus Sleeve,"13,999",1,2021,August
645,16/08/2021,Acer Projector 4000lm | P1155,"7,699",1,2021,August
646,17/08/2021,Acer Swift 3 Laptop 14&quot; FHD i3-1115G4 8GB 256GB SSD Silver | SF314-59-35SS + Free Targus Sleeve,"10,499",1,2021,August
647,17/08/2021,Acer Nitro 5 i5-11300H15.6&#039;&#039; RTX3050 4G 8GB 512GB SSD | AN515-56-554Y,"18,999",1,2021,August
648,18/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i7-1165G7 8GB 512GB SSD Silver | SF314-59-7203,"15,499",2,2021,August
649,18/08/2021,Acer Swift 5 Laptop 14&quot; FHD i7-1165G7 8GB 512GB SSD Win 10 Pro Green  | SF514-55T+ RAPOO 9300M MULTIMODE WIRELESS COMBO BLACK 9300M,"25,999",2,2021,August
650,18/08/2021,Acer Chromebook 11.6&quot; HD Intel® Celeron® N4000 4GB  eMMC 32GB Google Chrome | CB311-9H-C0GC + Free Targus Work-In-Sleeve,"5,499",1,2021,August
651,18/08/2021,Acer TravelMate P2 Laptop | Windows 10 Pro | TMP214-52-58CH,"16,999",1,2021,August
652,18/08/2021,Acer Chromebook Spin 311 11.6&quot; HD IPS Touch Celeron N4120 4GB OB eMMC 32GB |  CP311-2H-C6G7 + Free Targus Work-In-Sleeve,"7,199",1,2021,August
653,20/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU + Free Targus Sleeve,"13,999",2,2021,August
654,20/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i3-1115G4 8GB 256GB SSD Pink | SF314-59-33YU + Free Targus Sleeve,"10,499",1,2021,August
655,21/08/2021,Acer Nitro 5 AN515-56-789V|i7-11370H|15.6&#039;&#039; FHD|RTX3050 4G|8GB|512GB NVMe|1650i+BT5|CAM|BL|Win10H,"20,499",1,2021,August
656,22/08/2021,Acer Swift 3 Laptop 14&quot; FHD i3-1115G4 8GB 256GB SSD Silver | SF314-59-35SS + Free Targus Sleeve,"10,499",1,2021,August
657,23/08/2021,Acer Swift 3 Laptop 14&quot; FHD i3-1115G4 8GB 256GB SSD Silver | SF314-59-35SS + Free Targus Sleeve,"10,499",1,2021,August
658,23/08/2021,Acer Chromebook 11.6&quot; HD Intel® Celeron® N4000 4GB  eMMC 32GB Google Chrome | CB311-9H-C0GC + Free Targus Work-In-Sleeve,"5,499",1,2021,August
659,23/08/2021,Acer C202i Projector | MR.JR011.001,"6,999",1,2021,August
660,24/08/2021,Acer Chromebook Spin 713 13.5&#039;&#039; IPS Touch i3- 10110U 8GB 256GB SSD Google Chrome | CP713-2W-36RR + Free Targus Work-In-Sleeve,"13,999",2,2021,August
661,25/08/2021,Acer Projector 4000lm | P1155,"7,699",2,2021,August
662,27/08/2021,Acer Aspire 3 Laptop 15.6&#039;&#039; i5-1035G1 12GB 512GB SSD | Black | A315-56-57X5 + Free Targus Backpack,"10,999",1,2021,August
663,29/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,August
664,30/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Melon Pink | SF314-59-58ZS,"13,999",1,2021,August
665,30/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Silver | SF314-59-55GU + Free Targus Sleeve,"12,999",1,2021,August
666,30/08/2021,Acer TravelMate P2 Laptop | Windows 10 Pro | TMP214-52-58CH,"16,999",1,2021,August
667,30/08/2021,Acer Chromebook 11.6&quot; HD Intel® Celeron® N4000 4GB  eMMC 32GB Google Chrome | CB311-9H-C0GC + Free Targus Work-In-Sleeve,"5,499",1,2021,August
668,30/08/2021,Acer Swift 3 Laptop 14&#039;&#039; FHD i5-1135G7 8GB 512GB SSD Blue | SF314-59-5307 + Free Targus Sleeve,"13,999",1,2021,August
669,31/08/2021,Acer Projector 4000lm | P1155,"7,699",1,2021,August
670,31/08/2021,Acer Swift 3 14&quot; i7-1165G7 16GB 1TB SSD | SF314-59-78TU + Free Targus Sleeve,"16,999",1,2021,August
